Ward,Total_burglaries,Perc_burglary_household_month
Barnet Vale,1917,0.183
Brunswick Park,1798,0.203
Burnt Oak,2398,0.219
Childs Hill,3173,0.2688
Colindale North,797,0.12
Colindale South,1045,0.095
Cricklewood,1579,0.269
East Barnet,1809,0.175
East Finchley,1607,0.157
Edgware,1854,0.174
Edgwarebury,1163,0.197
Finchley Church End,2356,0.2098
Friern Barnet,2208,0.195
Garden Suburb,1571,0.217
Golders Green,2069,0.278
Hendon,2831,0.231
High Barnet,1461,0.2059
Mill Hill,1941,0.1894
Totteridge & Woodside,1675,0.2064
Underhill,1228,0.171
West Finchley,2407,0.2104
West Hendon,2248,0.235
Whetstone,1460,0.23
Woodhoue,1543,0.189
